term,estimate,std.error,statistic,p.value
(Intercept),244.54766710233454,12.176160552688735,20.08413621388506,2.5755263859928074e-89
areaSemi-Urban,74.18336633520924,3.42504207332159,21.659110967727926,1.7519092946855064e-103
trafficNaN,-53.117023299883876,4.908803141933052,-10.820768681093773,2.9723128846684424e-27
agent_rating,-38.72273037239318,0.6088263639771813,-63.60225618259281,0
weatherSunny,-33.7294479698275,0.7018160400704982,-48.06024092358923,0
trafficLow,-27.193734734316724,0.7274192773401159,-37.38385217635892,4.132972008791994e-301
vehiclemotorcycle,25.793763302355163,11.876626383347078,2.171808935450064,0.02987544128734476
weatherSandstorms,-16.08923807762029,0.697441460213121,-23.06894412715845,4.771398304986226e-117
weatherWindy,-15.955652786558844,0.6979454916843394,-22.860886669033928,5.405353665033562e-115
weatherStormy,-15.868729495832358,0.6943162256826809,-22.85519034245463,6.1490801461226415e-115
trafficJam,15.585984474109512,0.7352668513230085,21.197724943079837,3.1754853620182984e-99
areaOther,-14.404967997738465,1.2688377957519987,-11.352883753908916,7.901712561571536e-30
vehiclescooter,12.43654847388651,11.875660710452461,1.0472300259420833,0.2949992964550905
vehiclevan,11.531462198430074,11.876103161143176,0.9709802990057618,0.33156346740404075
areaUrban,-11.514280286059448,0.48868589506698723,-23.561720119794153,5.511376905201989e-122
agent_age,2.063142258688752,0.034746068277391816,59.3777184289704,0
trafficMedium,-1.8203401330491464,0.7592410027599937,-2.397578800976033,0.016508003890508546
weatherFog,-1.5521872970114219,0.6922268751533186,-2.2423100759669783,0.024946337016244453
weatherNaN,NA,NA,NA,NA
